,Cash Users,High Spenders,Inactive Users,Revolvers
CREDIT_LIMIT,3007.12,4624.34,2796.25,2745.17
PURCHASES,154.74,1445.98,699.06,216.79
BALANCE,1760.64,1090.76,501.71,647.36
CASH_ADVANCE,1162.01,145.27,71.35,131.11
ONEOFF_PURCHASES,94.46,1080.05,67.44,146.65
PAYMENTS,878.89,1278.59,752.08,534.67
INSTALLMENTS_PURCHASES,60.28,365.93,632.34,70.47
MINIMUM_PAYMENTS,814.71,526.27,695.44,436.83
PURCHASES_TRX,2.96,24.2,16.84,3.24
CASH_ADVANCE_TRX,6.73,0.73,0.35,0.66
Cluster,1.0,2.0,0.0,3.0
PURCHASES_INSTALLMENTS_FREQUENCY,0.1,0.4,0.84,0.12
PURCHASES_FREQUENCY,0.16,0.79,0.89,0.21
ONEOFF_PURCHASES_FREQUENCY,0.07,0.61,0.05,0.09
TENURE,11.27,11.75,11.44,11.57
CASH_ADVANCE_FREQUENCY,0.32,0.04,0.02,0.05
PRC_FULL_PAYMENT,0.02,0.2,0.31,0.11
BALANCE_FREQUENCY,0.96,0.96,0.93,0.77
